objgeographyid,objectid,continent,country,region,river,state,county,city,locale,building,locus,notes,township,politicalregion,nation,culturalregion,subregion,primarydisplay,orig_combined
38694,38164,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
38709,38165,,USA,,,North Carolina,,Shelton Laurel,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Shelton Laurel
38711,38166,,USA,,,North Carolina,,Marshall,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Marshall
39465,38822,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
39464,38845,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
39466,38890,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
39463,38909,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
40468,39759,,USA,,,North Carolina,,Raleigh,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Raleigh
40469,40221,,USA,,,North Carolina,,Raleigh,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Raleigh
27323,41442,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
28626,41650,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
28627,41651,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
30786,41943,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
31054,41975,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
31055,41976,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
42822,43070,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
44021,43781,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44028,43782,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44035,43783,,USA,,,North Carolina,,Asheville (near),,,,,,,,,,0,country: USA|||state: North Carolina|||city: Asheville (near)
44030,44146,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44024,44234,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
