"ObjGeographyID","ObjectID","GeoCodeID","Continent","SubContinent","Country","Region","River","State","County","City","Locale","Building","Excavation","Locus","Notes","LoginID","EnteredDate","Township","PoliticalRegion","Nation","RegionalCorp","VillageCorporation","CulturalRegion","Longitude","Latitude","UTM","Easting","Northing","Elevation","MapReferenceNumber","SubRegion","Lot","Concession","PrimaryDisplay","KeyFieldsSearchValue","GSRowVersion"
"35834","34520","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x0000000005389D8D"
"35873","34570","1",,,"USA",,,"North Carolina",,"Wendell",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Wendell 0.000 0.000","0x0000000005389DD3"
"36001","35081","1",,,"USA",,,"North Carolina",,"Durham",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Durham 0.000 0.000","0x000000000538A02D"
"37444","35510","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina 0.000 0.000","0x000000000538A238"
"37672","35660","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000538A2D5"
"37446","35707","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538A313"
"37294","36171","1",,,"USA",,,"North Carolina",,"Beria",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Beria 0.000 0.000","0x000000000538A4FF"
"38696","37869","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AE42"
"38698","37870","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AE44"
"38705","37871","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538AE45"
"38707","37872","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AE46"
"38683","37885","1",,,"USA",,,"North Carolina",,"Bakersville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Bakersville 0.000 0.000","0x000000000538AE55"
"38686","37886","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AE57"
"38687","37887","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AE59"
"38700","37888","1",,,"USA",,,"North Carolina",,"Guntertown [sic]",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Guntertown [sic] 0.000 0.000","0x000000000538AE5B"
"38701","37889","1",,,"USA",,,"North Carolina",,"Guntertown [sic]",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Guntertown [sic] 0.000 0.000","0x000000000538AE5C"
"38678","37900","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AE67"
"38693","37901","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AE69"
"38695","37902","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538AE6A"
"38708","37903","1",,,"USA",,,"North Carolina",,"Shelton Laurel",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Shelton Laurel 0.000 0.000","0x000000000538AE6B"
"38710","37904","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AE6C"
"38712","37905","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AE6D"
"38679","37913","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AE78"
"38690","37914","1",,,"USA",,,"North Carolina",,"Bakersville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Bakersville 0.000 0.000","0x000000000538AE7A"
