continent,country,region,river,state,county,city,locale,building,locus,notes,township,politicalregion,nation,culturalregion,subregion,placepublished,uncontrolled_value,proximity_note,uncertainty_note,place_note,clean_combined,norm_fingerprints,norm_combineds,occurrences
,USA,,,North Carolina,,Tallyho,,,,,,,,,,,,,,,country: USA|||state: North Carolina|||city: Tallyho,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9UYWxseWhv4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,country: USA|||state: North Carolina|||city: Tallyho,1
,USA,,,North Carolina,,"Tallyho , Granville County",,,,Stem,,,,,,,,,,,"country: USA|||state: North Carolina|||city: Tallyho , Granville County|||notes: Stem",bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9UYWxseWhvICwgR3JhbnZpbGxlIENvdW50eeKQn25pbOKQn25pbOKQn25pbOKQn1N0ZW3ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,"country: USA|||state: North Carolina|||city: Tallyho , Granville County|||notes: Stem",1
,USA,,,North Carolina,,Wadesboro,,,,,,,,,,,,,,,country: USA|||state: North Carolina|||city: Wadesboro,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XYWRlc2Jvcm/ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,country: USA|||state: North Carolina|||city: Wadesboro,2
,USA,,,North Carolina,,Wendell,,,,,,,,,,,,,,,country: USA|||state: North Carolina|||city: Wendell,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XZW5kZWxs4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,country: USA|||state: North Carolina|||city: Wendell,4
,USA,,,North Carolina,,Wing,,,,,,,,,,,,,,,country: USA|||state: North Carolina|||city: Wing,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XaW5n4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,country: USA|||state: North Carolina|||city: Wing,1
,USA,,,North Carolina,,Yanceyville,,,,,,,,,,,,,,,country: USA|||state: North Carolina|||city: Yanceyville,bmls4pCfVVNB4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9ZYW5jZXl2aWxsZeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,country: USA|||state: North Carolina|||city: Yanceyville,2
,United States of America,,,North Carolina,,Waynesville,,,,,,,,,,,,,,,country: United States of America|||state: North Carolina|||city: Waynesville,bmls4pCfVW5pdGVkIFN0YXRlcyBvZiBBbWVyaWNh4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9XYXluZXN2aWxsZeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,country: United States of America|||state: North Carolina|||city: Waynesville,1
,United States,,,North Carolina,Burke County,Salem,,,,,,,,,,,,,,,country: United States|||state: North Carolina|||county: Burke County|||city: Salem,bmls4pCfVW5pdGVkIFN0YXRlc+KQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfQnVya2UgQ291bnR54pCfU2FsZW3ikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,country: United States|||state: North Carolina|||county: Burke County|||city: Salem,1
,United States,,,North Carolina,Wake County,Raleigh,,,,,,,,,,,,,,,country: United States|||state: North Carolina|||county: Wake County|||city: Raleigh,bmls4pCfVW5pdGVkIFN0YXRlc+KQn25pbOKQn25pbOKQn05vcnRoIENhcm9saW5h4pCfV2FrZSBDb3VudHnikJ9SYWxlaWdo4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls4pCfbmls,country: United States|||state: North Carolina|||county: Wake County|||city: Raleigh,1
,,,,North Carolina,,,,,,,,,,,,,,,,,state: North Carolina,bmls4pCfbmls4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWzikJ9uaWw=,state: North Carolina,3
,,,,North Carolina,,Beria,,,,,,,,,,,,,,,state: North Carolina|||city: Beria,bmls4pCfbmls4pCfbmls4pCfbmls4pCfTm9ydGggQ2Fyb2xpbmHikJ9uaWzikJ9CZXJpYeKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbOKQn25pbA==,state: North Carolina|||city: Beria,5
